role,generation,mean_fitness,size,optimal_genotype,fitness_coefficients
prey,0,3.3753486230830835e-15,200,[0. 0. 0. 0. 0.],"(0.1, 0.1)"
prey,1,0.0,0,[0.00646903 0.01879106 0.00495731 0.0311477  0.02234371],"(0.1, 0.1)"
prey,2,0.0,0,[0.04199012 0.03973724 0.03082091 0.03535835 0.0715725 ],"(0.1, 0.1)"
prey,3,0.0,0,[0.05072937 0.07213876 0.04309364 0.07123642 0.11041357],"(0.1, 0.1)"
prey,4,0.0,0,[0.06314374 0.12153946 0.06256313 0.10786706 0.14464983],"(0.1, 0.1)"
prey,5,0.0,0,[0.06412632 0.16550911 0.11084362 0.12494558 0.16157518],"(0.1, 0.1)"
prey,6,0.0,0,[0.10363048 0.19632365 0.11308665 0.15607293 0.17702106],"(0.1, 0.1)"
prey,7,0.0,0,[0.12395362 0.23491545 0.13728051 0.20094954 0.22240912],"(0.1, 0.1)"
prey,8,0.0,0,[0.16420958 0.27742208 0.15173803 0.24856255 0.22490213],"(0.1, 0.1)"
prey,9,0.0,0,[0.21222792 0.27965149 0.15889112 0.24926327 0.25324505],"(0.1, 0.1)"
prey,10,0.0,0,[0.23520607 0.30459989 0.16250178 0.28348504 0.27840607],"(0.1, 0.1)"
prey,11,0.0,0,[0.27882579 0.3352557  0.17036198 0.33160194 0.30432435],"(0.1, 0.1)"
prey,12,0.0,0,[0.32777316 0.36034918 0.19310982 0.36927572 0.31094788],"(0.1, 0.1)"
prey,13,0.0,0,[0.37058084 0.36531106 0.19764586 0.3824105  0.35468618],"(0.1, 0.1)"
prey,14,0.0,0,[0.41002654 0.37699558 0.22960596 0.39419462 0.3903692 ],"(0.1, 0.1)"
prey,15,0.0,0,[0.43140363 0.3850386  0.26462335 0.43213803 0.39565902],"(0.1, 0.1)"
prey,16,0.0,0,[0.45818808 0.40474812 0.30703351 0.45678717 0.41925415],"(0.1, 0.1)"
prey,17,0.0,0,[0.48278448 0.43338675 0.31895037 0.49648492 0.44357829],"(0.1, 0.1)"
prey,18,0.0,0,[0.49122745 0.45642039 0.33430475 0.49824288 0.45973555],"(0.1, 0.1)"
prey,19,0.0,0,[0.51009487 0.46933173 0.34647811 0.52113111 0.49771155],"(0.1, 0.1)"
prey,20,0.0,0,[0.52703152 0.49751858 0.35672707 0.55823088 0.50032551],"(0.1, 0.1)"
prey,21,0.0,0,[0.54299278 0.54281416 0.36305892 0.56715687 0.52497702],"(0.1, 0.1)"
prey,22,0.0,0,[0.58915709 0.5700554  0.37654605 0.60227681 0.55792211],"(0.1, 0.1)"
prey,23,0.0,0,[0.589353   0.62002843 0.41665973 0.64161296 0.58340841],"(0.1, 0.1)"
prey,24,0.0,0,[0.61633609 0.62390261 0.41756118 0.64672957 0.60393335],"(0.1, 0.1)"
prey,25,0.0,0,[0.62175611 0.66769927 0.45671919 0.65513547 0.62954637],"(0.1, 0.1)"
prey,26,0.0,0,[0.62427226 0.67084464 0.46608652 0.65675901 0.66671402],"(0.1, 0.1)"
prey,27,0.0,0,[0.6367211  0.68945999 0.47881971 0.68120656 0.68708441],"(0.1, 0.1)"
prey,28,0.0,0,[0.63944657 0.73128198 0.50441664 0.70755694 0.71516414],"(0.1, 0.1)"
prey,29,0.0,0,[0.64526315 0.77978782 0.50551574 0.74769181 0.7545659 ],"(0.1, 0.1)"
