role,generation,mean_fitness,size,optimal_genotype,interaction_values
prey,0,0.46167823839893884,200,[0. 0. 0. 0. 0.],"(0.0, 0.0)"
prey,1,0.4718284678418498,163,[0.02990937 0.03009132 0.00322504 0.04862612 0.0272015 ],"(0.0, 0.0)"
prey,2,0.48541824982274684,135,[0.07108192 0.03780453 0.01993487 0.07452437 0.03852369],"(0.0, 0.0)"
prey,3,0.499288125159624,161,[0.10645958 0.07450474 0.03420776 0.08940797 0.06196834],"(0.0, 0.0)"
prey,4,0.5196654891921106,166,[0.15224778 0.09481877 0.04061821 0.10059847 0.09877863],"(0.0, 0.0)"
prey,5,0.5406852060388967,169,[0.18399713 0.10202303 0.05806759 0.12989342 0.10571779],"(0.0, 0.0)"
prey,6,0.5552670118518359,179,[0.20205117 0.15076609 0.0584428  0.17656257 0.15347175],"(0.0, 0.0)"
prey,7,0.562947707547797,184,[0.20942008 0.1511159  0.1009922  0.19477884 0.16922004],"(0.0, 0.0)"
prey,8,0.5700385345252409,227,[0.25257391 0.19477766 0.12091627 0.19522498 0.17854832],"(0.0, 0.0)"
prey,9,0.5919797801534451,263,[0.25647832 0.21967611 0.14711698 0.23631125 0.2144034 ],"(0.0, 0.0)"
prey,10,0.6078121511770873,310,[0.29034928 0.25788534 0.19355721 0.27383847 0.24901846],"(0.0, 0.0)"
prey,11,0.6323625392948364,357,[0.32529755 0.28890321 0.21251361 0.2783632  0.29178572],"(0.0, 0.0)"
prey,12,0.64479573853247,401,[0.34738156 0.30187649 0.22607374 0.28047868 0.30291636],"(0.0, 0.0)"
prey,13,0.6534788427872819,513,[0.36659904 0.34631699 0.25517755 0.29543018 0.31013508],"(0.0, 0.0)"
prey,14,0.6539480682762497,667,[0.40279618 0.38574912 0.29349777 0.31164687 0.35387841],"(0.0, 0.0)"
prey,15,0.6552913310713971,818,[0.45277925 0.42701939 0.30506529 0.34220005 0.35510078],"(0.0, 0.0)"
prey,16,0.6458787910983357,1015,[0.46819351 0.45579522 0.31151198 0.36947257 0.381433  ],"(0.0, 0.0)"
prey,17,0.6437590461860166,1195,[0.4817563  0.48258375 0.31193359 0.4000829  0.38159799],"(0.0, 0.0)"
prey,18,0.6410809842574305,1345,[0.49988241 0.48749459 0.35320548 0.4392317  0.38281374],"(0.0, 0.0)"
prey,19,0.6381152715046569,1475,[0.52202287 0.51127049 0.3775374  0.45981855 0.42830803],"(0.0, 0.0)"
prey,20,0.6342269961285222,1534,[0.53559117 0.51316531 0.39717925 0.4944019  0.45218196],"(0.0, 0.0)"
prey,21,0.6329049848665714,1665,[0.58075932 0.55081404 0.44276892 0.52620198 0.47601723],"(0.0, 0.0)"
prey,22,0.6149179823348614,1763,[0.58509712 0.55768088 0.47306301 0.5385401  0.50223915],"(0.0, 0.0)"
prey,23,0.6140552566675214,1813,[0.63247634 0.58360013 0.48924313 0.58514638 0.54739142],"(0.0, 0.0)"
prey,24,0.6028268854099906,1829,[0.65595824 0.58988555 0.51526421 0.62364302 0.54817675],"(0.0, 0.0)"
prey,25,0.5984110591436967,1767,[0.70309072 0.62396876 0.52689677 0.6263756  0.56363136],"(0.0, 0.0)"
